id;login;password_hash;first_name;last_name;email;image_url;activated;lang_key;activation_key;reset_key;created_by;created_date;reset_date;last_modified_by;last_modified_date
1;admin;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;Administrator;Administrator;admin@localhost;"";true;fr;"";"";system;;;system;
2;user;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;User;User;user@localhost;"";true;fr;"";"";system;;;system;
11;anne;$2a$10$u6.qRqzbMHtofCE7Kxto1ep2vf8XFrGs1yk1zyu6JFbfXy3/jVwBW;"";"";anne-gs@yopmail.com;"";true;fr;"";"";anonymousUser;2023-12-06 17:31:15.213481;;anne;2023-12-14 12:35:25.532564
12;bruno;$2a$10$TUJfMXiT.I8T.uRjyTTyDOjuXOy3.CsdluzrwplWBDuVIezD0x6h.;"";"";bruno-gs@yopmail.com;"";true;fr;"";"";anonymousUser;2023-12-06 17:31:56.005362;;anonymousUser;2023-12-06 17:44:47.889778
13;charles;$2a$10$PeOtUx1ldgilVywXiP8.EO6./zStRrjZffBXr.sE5Z7SYHSZ6cOaq;"";"";charles-gs@yopmail.com;https://svgsilh.com/png-512/2087437.png;true;fr;"";"";anonymousUser;2023-12-06 17:33:15.774564;;charles;2023-12-14 14:26:38.516776
14;daniel;$2a$10$j1CP38HuidKRMENGDndRhunoYdOw7wGmpdk633gAo4gzPE4h1RMju;"";"";daniel-gs@yopmail.com;"";true;fr;"";"";anonymousUser;2023-12-06 17:35:19.473937;;anonymousUser;2023-12-06 17:45:22.757740
15;elisa;$2a$10$kv5WnLjKQPqYpWrR90OPDutkKqV5i7STKwJU/f27qSJsDZdTveUiC;"";"";elisa-gs@yopmail.com;https://svgsilh.com/png-512/2087437.png;true;fr;"";"";anonymousUser;2023-12-06 17:36:11.413629;;elisa;2023-12-14 14:28:00.583860
16;fred;$2a$10$kFg5cl2N0TA9yVxDkN.h.uLLbnZzdSJEoZAtJvOfwvE7tpvLZzJEK;"";"";fred-gs@yopmail.com;https://static.wikia.nocookie.net/xcom/images/c/c4/XCOM2_AvatarCorpse.png;true;fr;"";"";anonymousUser;2023-12-06 17:38:22.785798;;fred;2023-12-14 14:30:23.334631
17;gaspard;$2a$10$KfmNV6DS4qL.JBAF8.EhbutM89EicCKZr4SweQUchi.OQ2hlwVaLK;"";"";gaspard-gs@yopmail.com;"";true;fr;"";"";anonymousUser;2023-12-06 17:39:57.059384;;anonymousUser;2023-12-06 17:46:42.847754
18;helene;$2a$10$RHFUsc5I8Bx7T4mxwzwEoee2B61Z9pRDTEnyg/ERe8OBss4AxnqDe;"";"";helene-gs@yopmail.com;"";true;fr;"";"";anonymousUser;2023-12-06 17:41:09.191354;;anonymousUser;2023-12-06 17:46:56.471706
19;ivan;$2a$10$Y48UtYA4nc/BZYXP6bEcS.RgpeuvBIJmto8T3R/whR4dTs8FiSMv6;"";"";ivan-gs@yopmail.com;"";true;fr;"";"";anonymousUser;2023-12-06 17:42:24.582071;;anonymousUser;2023-12-06 17:47:42.397948
20;jeanne;$2a$10$v76SaFOFXTXFR613jUqU3OpYtX1FwrBdG8NSvNqVXPyqG4wUjKefe;"";"";jeanne-gs@yopmail.com;https://neverwintervault.org/sites/neverwintervault.org/files/project/25091/images/korrah.jpg;true;fr;"";"";anonymousUser;2023-12-06 17:43:05.549349;;jeanne;2023-12-14 15:12:57.521048
